"Tiempo (s) Serie Nº 2";"Fuerza (N) Serie Nº 2"
32,750;26,74
32,800;26,81
32,850;26,84
32,900;26,90
32,950;26,97
33,000;26,97
33,050;26,94
33,100;26,97
33,150;26,94
33,200;26,97
33,250;26,97
33,300;27,00
33,350;26,97
33,400;26,90
33,450;26,84
33,500;26,81
33,550;26,87
33,600;26,90
33,650;26,94
33,700;27,00
33,750;27,06
33,800;27,00
33,850;26,97
33,900;27,00
33,950;26,90
34,000;26,87
34,050;26,87
34,100;26,90
34,150;26,97
34,200;27,00
34,250;27,03
34,300;27,06
34,350;27,10
34,400;27,10
34,450;27,00
34,500;27,00
34,550;27,00
34,600;26,97
34,650;26,90
34,700;26,94
34,750;26,90
34,800;26,97
34,850;27,06
34,900;27,03
34,950;27,06
35,000;27,06
35,050;27,10
35,100;26,97
35,150;27,00
35,200;27,03
35,250;26,90
35,300;26,94
35,350;26,94
35,400;26,87
35,450;26,94
35,500;27,03
35,550;27,06
35,600;27,13
35,650;27,13
35,700;27,00
35,750;26,90
35,800;26,78
35,850;26,74
35,900;26,81
35,950;26,90
36,000;26,94
36,050;26,94
36,100;26,94
36,150;26,87
36,200;26,84
36,250;26,78
36,300;26,71
36,350;26,74
36,400;26,74
36,450;26,81
36,500;26,87
36,550;26,87
36,600;26,78
36,650;26,71
36,700;26,81
36,750;26,81
36,800;26,81
36,850;26,78
36,900;26,81
36,950;26,87
37,000;26,90
37,050;26,94
37,100;27,00
37,150;27,06
37,200;27,10
37,250;27,10
37,300;27,06
37,350;27,10
37,400;27,10
37,450;27,06
37,500;27,03
37,550;26,97
37,600;26,97
37,650;27,00
37,700;27,03
37,750;26,97
37,800;26,97
37,850;26,97
37,900;26,94
37,950;26,90
38,000;27,03
38,050;27,06
38,100;27,10
38,150;26,94
38,200;26,94
38,250;26,94
38,300;26,97
38,350;26,90
38,400;26,97
38,450;27,10
38,500;27,10
38,550;27,10
38,600;27,03
38,650;27,10
38,700;27,00
38,750;27,00
38,800;27,03
38,850;27,13
38,900;27,06
38,950;27,03
39,000;27,00
39,050;27,06
39,100;27,03
39,150;27,06
39,200;27,06
39,250;27,13
39,300;27,06
39,350;27,03
39,400;27,00
39,450;26,97
39,500;26,94
39,550;26,90
39,600;26,87
39,650;26,81
39,700;26,78
39,750;26,78
39,800;26,78
39,850;26,84
39,900;26,90
39,950;26,90
40,000;26,90
40,050;26,97
40,100;26,84
40,150;26,87
40,200;26,94
40,250;26,97
40,300;26,97
40,350;27,00
40,400;26,97
40,450;27,00
40,500;26,90
40,550;26,87
40,600;26,87
40,650;26,87
40,700;26,84
40,750;26,84
40,800;26,87
40,850;26,94
40,900;26,87
40,950;26,84
41,000;26,84
41,050;26,90
41,100;26,97
41,150;27,03
41,200;27,16
41,250;27,35
41,300;27,61
41,350;27,77
41,400;27,96
41,450;28,12
41,500;28,35
41,550;28,54
41,600;28,83
41,650;29,21
41,700;29,53
41,750;30,01
41,800;30,46
41,850;30,85
41,900;31,27
41,950;31,65
42,000;32,00
42,050;32,19
42,100;32,42
42,150;32,68
42,200;33,09
42,250;33,32
42,300;33,32
42,350;33,22
42,400;33,16
42,450;33,19
42,500;33,32
42,550;33,35
42,600;33,54
42,650;33,67
42,700;33,70
42,750;33,67
42,800;33,57
42,850;33,57
42,900;33,48
42,950;33,45
43,000;33,57
43,050;33,67
43,100;33,77
43,150;33,83
43,200;33,83
43,250;33,73
43,300;33,70
43,350;33,61
43,400;33,57
43,450;33,57
43,500;33,57
43,550;33,64
43,600;33,67
43,650;33,64
43,700;33,64
43,750;33,67
43,800;33,70
43,850;33,70
43,900;33,57
