Tiempo (s) Serie Nº 1,Ángulo (rad),N2,N3,N4,N5,V. Vel. Angular (rad/s),N2,N3,N4,N5,Ac. angular (rad/s²),N2,N3,N4,N5,Pos. (m),N2,N3,N4,N5,V. Vel (m/s),N2,N3,N4,N5,Ac. (m/s²),N2,N3,N4,N5,Fuerza (N),N2,N3,N44,N5
0.5,-0.017,0.017,-0.07,-1.606,-0.646,0,0.175,6.94E-17,-22.398,-14.37,-0.388,-0.194,3.879,-155.334,-152.038,-4.36E-04,4.36E-04,-0.0017,-0.0401,-0.0161,0,0,0.004,-0.56,-0.359,-0.01,-0.005,0.097,-3.881,-3.799,4.48,4.47,4.62,2.73,1.11
0.51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.49,4.48,4.59,2.83,1.33
0.52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.46,4.46,4.58,2.82,1.54
0.53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.46,4.44,4.57,2.79,1.82
0.54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.48,4.43,4.57,2.64,2.18
0.55,-0.017,0.017,-0.052,-2.967,-1.571,0,0.116,0.291,-30.485,-23.446,-0.582,-1.357,3.297,-148.935,-157.661,-4.36E-04,4.36E-04,-0.0013,-0.0741,-0.0393,0,0.007,0.003,-0.762,-0.586,-0.015,-0.034,0.082,-3.721,-3.94,4.47,4.47,4.48,2.59,2.43
0.56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.46,4.5,4.47,2.53,2.85
0.57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.43,4.46,4.47,2.46,3
0.58,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.48,4.5,4.46,2.49,3.36
0.59,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.48,4.5,4.43,2.45,3.48
0.6,-0.017,0.035,-0.035,-4.695,-3.037,-0.058,0,0.465,-37.641,-31.59,-0.776,-1.939,0.582,-129.154,-129.154,-4.36E-04,8.72E-04,-8.72E-04,-0.1173,-0.0759,-0.001,0.012,0,-0.941,-0.789,-0.019,-0.048,0.015,-3.227,-3.227,4.49,4.49,4.43,2.56,3.61
0.61,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.49,4.46,4.37,2.68,3.86
0.62,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.5,4.46,4.39,2.77,3.89
0.63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.49,4.46,4.35,3.01,4.08
0.64,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.48,4.48,4.34,3.19,4.08
0.65,-0.017,0.017,0,-6.754,-4.852,-0.116,-0.116,0.349,-43.633,-37.001,-0.582,-1.551,-2.521,-100.453,-82.612,-4.36E-04,4.36E-04,0,-0.1688,-0.1212,-0.003,0.009,-0.003,-1.09,-0.925,-0.015,-0.039,-0.063,-2.51,-2.064,4.51,4.45,4.39,3.5,4.08
0.66,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.49,4.5,4.37,3.68,4.29
0.67,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.5,4.55,4.41,3.92,4.32
0.68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.52,4.54,4.39,4.24,4.49
0.69,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.49,4.53,4.42,4.3,4.67
0.7,-0.035,0.017,0.017,-9.111,-6.842,-0.116,-0.175,0.116,-47.997,-39.561,-1.939,-0.776,-3.685,-65.547,-38.979,-8.72E-04,4.36E-04,4.36E-04,-0.2277,-0.171,-0.003,0.003,-0.004,-1.199,-0.989,-0.048,-0.019,-0.092,-1.638,-0.974,4.49,4.49,4.45,4.48,4.62
0.71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.47,4.5,4.46,4.57,4.72
0.72,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.47,4.47,4.48,4.59,4.67
0.73,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.46,4.46,4.47,4.58,4.62
0.74,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.49,4.48,4.47,4.56,4.59
0.75,-0.035,0,0,-11.641,-8.866,-0.116,-0.175,-0.116,-50.265,-40.259,-10.86,-0.194,-2.521,-29.477,-9.89,-8.72E-04,0,0,-0.2909,-0.2215,-0.003,-0.003,-0.004,-1.256,-1.006,-0.271,-0.005,-0.063,-0.737,-0.247,4.47,4.48,4.49,4.55,4.49
0.76,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.44,4.52,4.5,4.56,4.47
0.77,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.4,4.46,4.56,4.53,4.48
0.78,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.3,4.5,4.52,4.67,4.51
0.79,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.19,4.5,4.56,4.7,4.64
0.8,-0.035,0,0,-14.207,-10.891,-0.64,-0.175,-0.175,-50.673,-40.026,-33.549,-0.194,-1.357,1.357,4.46,-8.72E-04,0,0,-0.355,-0.2721,-0.016,-0.004,-0.004,-1.266,-1,-0.838,-0.005,-0.034,0.034,0.111,4.06,4.51,4.52,4.92,4.74
0.81,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.87,4.48,4.52,5,4.84
0.82,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.65,4.5,4.54,4.97,4.84
0.83,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.36,4.5,4.52,4.97,4.88
